epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,3950.71,0.42106,0.37607,0.90947,0.98639,0.98629,0.99408,0.95034,0.31486,0.24187,0.83427,0.00022285,0.00022285,0.00022285
159,3975.09,0.40958,0.35962,0.89879,0.99184,0.98484,0.99418,0.95186,0.30772,0.23545,0.82849,0.0002179,0.0002179,0.0002179
160,3999.73,0.41726,0.37064,0.90501,0.98778,0.98698,0.99389,0.95355,0.30693,0.23502,0.82896,0.00021295,0.00021295,0.00021295
161,4024.17,0.41286,0.36878,0.90286,0.98733,0.98711,0.99372,0.95261,0.30963,0.23515,0.82868,0.000208,0.000208,0.000208
162,4048.59,0.4109,0.35927,0.9015,0.98587,0.98385,0.99351,0.95182,0.30529,0.2321,0.8268,0.00020305,0.00020305,0.00020305
163,4073.44,0.40816,0.36065,0.90207,0.98738,0.98199,0.9936,0.95283,0.30445,0.23259,0.82668,0.0001981,0.0001981,0.0001981
164,4098.9,0.41213,0.36574,0.9016,0.98766,0.98546,0.99399,0.952,0.30768,0.23088,0.82743,0.00019315,0.00019315,0.00019315
165,4123.87,0.40849,0.36106,0.90172,0.98768,0.98514,0.99352,0.9509,0.30674,0.234,0.82743,0.0001882,0.0001882,0.0001882
166,4148.89,0.40906,0.36063,0.90098,0.98823,0.98673,0.99421,0.95198,0.30314,0.22869,0.82613,0.00018325,0.00018325,0.00018325
167,4174.08,0.40253,0.35116,0.89512,0.98464,0.98716,0.99385,0.95488,0.29829,0.22792,0.82932,0.0001783,0.0001783,0.0001783
168,4198.86,0.40709,0.3596,0.90012,0.98802,0.98241,0.99371,0.95365,0.29876,0.22831,0.82757,0.00017335,0.00017335,0.00017335
169,4224.24,0.40392,0.35613,0.89736,0.98574,0.98465,0.99333,0.95339,0.30313,0.23166,0.8262,0.0001684,0.0001684,0.0001684
170,4249.27,0.40643,0.35889,0.90026,0.98969,0.98529,0.99413,0.95485,0.30352,0.22934,0.82452,0.00016345,0.00016345,0.00016345
171,4274.49,0.40271,0.35214,0.90083,0.98493,0.99019,0.9943,0.95524,0.30267,0.2268,0.82603,0.0001585,0.0001585,0.0001585
172,4299.35,0.40001,0.35422,0.89762,0.98535,0.98515,0.9926,0.9545,0.30016,0.23156,0.8302,0.00015355,0.00015355,0.00015355
173,4324.03,0.39972,0.35256,0.89772,0.98783,0.98325,0.99242,0.95323,0.30303,0.2309,0.8308,0.0001486,0.0001486,0.0001486
174,4349.14,0.40194,0.34909,0.89645,0.989,0.98443,0.99345,0.9555,0.29723,0.2269,0.82702,0.00014365,0.00014365,0.00014365
175,4374.04,0.39922,0.34983,0.89691,0.98818,0.98569,0.99345,0.9533,0.30128,0.22866,0.82897,0.0001387,0.0001387,0.0001387
176,4398.86,0.39679,0.34499,0.89703,0.98843,0.98496,0.99368,0.95289,0.30161,0.22824,0.83085,0.00013375,0.00013375,0.00013375
177,4423.8,0.39279,0.34713,0.89565,0.98866,0.98642,0.994,0.95512,0.30156,0.22754,0.82841,0.0001288,0.0001288,0.0001288
178,4448.36,0.3975,0.3512,0.89668,0.98652,0.98703,0.99389,0.95461,0.29929,0.22954,0.82723,0.00012385,0.00012385,0.00012385
179,4472.91,0.39646,0.34817,0.89688,0.98704,0.98524,0.99346,0.95436,0.30332,0.22868,0.82732,0.0001189,0.0001189,0.0001189
180,4497.81,0.39454,0.34716,0.89652,0.98859,0.98515,0.99406,0.95568,0.29919,0.2263,0.82769,0.00011395,0.00011395,0.00011395
181,4522.43,0.39684,0.34816,0.89464,0.98402,0.98839,0.99365,0.95569,0.29901,0.22587,0.82686,0.000109,0.000109,0.000109
